ESTACION,LATITUD,LONGITUD
PUENTE AMBAN,-6.58271,-78.91262
CHANCAY BAÑOS,-6.57489,-78.86721
POMACANCHI,-14.0278,-71.5726
SORAYPAMPA,-13.3955,-72.5736
ANCACHURO,-13.4724,-72.2188
CALCA,-13.33333,-71.95524
NUEVO PISAC,-13.42264,-71.85388
SAUSAYA,-14.52931,-71.35831
PAYAPUNKU,-14.4261,-71.28145
SICUANI,-14.23736,-71.23669
SIBINACOCHA,-13.92214,-71.01823
QUISOQUEPINA,-13.79505,-70.88622
SALCCA,-14.16991,-71.23186
MARCA CUNKA,-14.49847,-72.08952
SANTO TOMAS,-14.44896,-72.09645
HUAYHUAHUASI,-14.67242,-71.51991
PONGO DE MAINIQUE,-12.24986,-72.82447
SAN PABLO,-13.02506,-72.61988
PICHARI,-12.52296,-73.83956
PAUCARTAMBO,-13.3177,-71.59741
ACJANACO ,-13.19672,-71.61941
QUINCEMIL,-13.2289,-70.7544
ASHANAKU,-13.58048,-71.58878
URUBAMBA,-13.3052,-72.1246
QORIHUAYRACHINA,-13.22419,-72.43383
INTIHUATANA H,-13.18517,-72.52319
MACHUPICCHU,-13.16655,-72.54585
INTIHUATANA M,-13.17418,-72.56036
HUAYLLABAMBA,-13.26581,-72.44881
PACAYMAYO,-13.23419,-72.49841
CHILCA,-13.2235,-72.34056
COCHAMARCA,-12.99,-75.51019
HUACHOS,-13.21667,-75.53333
CHALLACA,-13.7898,-75.417
CORDOVA,-14.03333,-75.16667
CUSICANCHA,-13.48333,-75.3
CHALLACA M,-13.7905,-75.3821
SANTIAGO DE CHOCORVOS,-13.83333,-75.25
COCHABAMBA GRANDE,-12.19238,-74.51493
CHINCHAVITO,-9.515,-75.9425
PUENTE TARUCA,-9.85056,-76.1519
QUISCA,-10.08922,-76.21556
SAN MARTIN,-9.40385,-76.76482
CACHICOTO,-9.21931,-76.21294
PUENTE BELLA,-9.32411,-76.02935
TINGO MARIA,-9.29601,-76.00207
PUENTE PEREZ,-9.34694,-75.9825
PUERTO INCA,-9.3851,-74.96376
JESUS DE LAURICOCHA,-10.07819,-76.63119
PUCA PUCA,-9.87895,-76.5909
RAMADILLAS,-13.80857,-75.50129
LOS MOLINOS,-13.9102,-75.66696
HUAMANI EL TAMBO,-13.84386,-75.58944
BETA SANTIAGO,-14.23739,-75.67022
CONTA M,-13.43936,-75.97517
FONAGRO,-13.45944,-76.15167
SAN PEDRO DE HUACARPANA,-13.04889,-75.64806
HUALLPOCA,-14.63201,-74.95588
PALPA,-14.54935,-75.18921
IMATA,-15.84266,-71.09062
PILLONES,-15.97861,-71.21333
SUMBAY,-15.81667,-71.11667
SIBAYO,-15.49422,-71.4638
COTACOTA,-15.21331,-71.38955
VISCA VISCA,-14.7228,-71.9787
COROPUNA,-15.53597,-72.61056
CUYAU,-15.21794,-72.93564
COTAHUASI,-15.21134,-72.89331
PAMPA CANGALLO,-13.56184,-74.19889
SANTA CRUZ DE HOSPICIO,-13.4383,-74.7993
HUAC-HUAS,-14.12861,-74.94583
CCONTACC,-14.5423,-74.2642
PAMPA GALERAS,-14.66917,-74.40361
HURAY HUMA,-14.564,-73.5558
PAUZA,-15.275,-73.34083
PAUCARAY,-14.04361,-73.63833
UNC CAJAMARCA,-7.16747,-78.49307
CAJABAMBA,-7.62167,-78.05111
CRISNEJAS,-7.4639,-78.1131
CELENDIN,-6.85303,-78.14487
BALSAS,-6.84461,-78.03025
CHOTA,-6.55405,-78.67588
HUAMBOS,-6.45364,-78.96319
PUENTE SAN CARLOS,-6.61515,-79.27136
LA MUCHALA,-6.47998,-79.22406
CASCABAMBA,-7.38407,-78.72682
PUENTE CHILETE,-7.21968,-78.83798
GUZMANGO,-7.38133,-78.9033
SAUCEPAMPA,-9.0309,-77.7763
PUENTE CAHUA,-10.60597,-77.34388
RECUAY,-9.72919,-77.45365
PACHACOTO,-9.85243,-77.40607
SHAQUEK,-10.07116,-77.52504
PUENTE SALINAS AMOJAO,-5.45096,-78.4894
BAGUA,-5.66145,-78.53403
CORRAL QUEMADO,-5.75461,-78.69208
MAGUNCHAL,-5.88987,-78.18876
NARANJITO,-5.81968,-78.27598
BUENA VISTA,-9.43372,-78.20828
CHAVIN,-9.58598,-77.17529
CONDORCERRO,-8.65793,-78.26172
SAN JACINTO,-9.141,-78.2023
CURAHUASI,-13.5526,-72.7349
GRANJA SAN ANTONIO,-13.60492,-72.85693
HUACULLO,-14.65289,-72.57275
CASACCANCHA,-13.98923,-72.29832
PUENTE PAMPAS GORE APU,-13.43493,-73.82737
TANCAYLLO,-13.63523,-73.69004
AREQUIPA UV,-16.4042,-71.55155
LA PAMPILLA,-16.41384,-71.53452
CAYMA,-16.31689,-71.57919
CHARCANI,-16.31086,-71.49511
CHIGUATA,-16.40645,-71.40914
HUASACACHE,-16.45774,-71.56635
TINGO GRANDE,-16.45992,-71.57431
SAN FRANCISCO,-16.38519,-71.49044
TUCTUMPAYA,-16.48827,-71.33463
SAN JOSE DE UZUNA,-16.58103,-71.32836
LAS SALINAS,-16.32064,-71.15212
PUENTE DEL DIABLO,-16.42665,-71.67507
BOYADERO,-16.58989,-72.00886
PATAHUASI,-16.05542,-71.41481
YURA,-16.30271,-71.62395
SOCOSANI,-16.25944,-71.72056
CAMANA,-16.64395,-72.70432
OCOÑA,-16.427,-73.1145
HUATIAPA,-16.00806,-72.48355
CHIVAY,-15.64163,-71.60169
HUANCA,-16.03458,-71.88108
SAN MARTIN DE PORRES,-12.00889,-77.08447
SANTA ANITA,-12.04302,-76.97144
LAS PALMAS,-12.15675,-77.01303
VILLA MARIA DEL TRIUNFO,-12.16639,-76.92
HUAROS,-11.40744,-76.57584
LA CAPILLA SENAMHI,-12.52183,-76.49658
CAÑETE,-13.07475,-76.33042
SOCSI,-13.02825,-76.1945
SANTO DOMINGO,-11.37,-77.02833
PIRCA,-11.23284,-76.65514
PUENTE CALLANTAMA,-11.2989,-76.8518
PAMPA DE MAJES,-16.33565,-72.15266
HUANCAVELICA,-12.77163,-75.01237
AMAZONAS,-3.76397,-73.25492
VICHAYCOCHA,-11.13916,-76.62455
SANTA CRUZ,-11.19827,-76.63487
CARAC,-11.19005,-76.77937
CUCHUANCA,-11.20158,-76.7881
MATUCANA,-11.83911,-76.378
PUENTE ANTAPUCRO,-12.0333,-76.6333
CASAPALCA,-11.638,-76.23325
SAN MATEO ,-11.76012,-76.30111
SAN MATEO DE OTAO,-11.847,-76.56359
SANTA EULALIA,-11.92,-76.66664
SANTIAGO DE TUNA,-11.9832,-76.5242
PICOY,-10.92159,-76.73703
SAYAN,-11.13472,-77.19833
CARANIA,-12.3444,-75.87215
ENAPU PERU,-3.72722,-73.23694
CABALLOCOCHA,-3.91125,-70.51206
PEBAS,-3.31791,-71.85962
CONTAMANA,-7.35254,-75.00632
BILINGURSTH,-12.56083,-69.18949
CACHUELA,-12.60442,-69.18304
PUENTE HERRERA,-12.61361,-69.19413
TAMBOPATA,-12.5925,-69.17529
PUERTO MALDONADO,-12.5873,-69.2088
MALINOWSKY,-12.93411,-69.5175
SALVACION,-12.8312,-71.36446
IÑAPARI,-10.95589,-69.578
MOQUEGUA,-17.17874,-70.93267
12 DE OCTUBRE,-10.60641,-76.52927
OXAPAMPA,-10.59417,-75.38417
PUERTO BERMUDEZ,-10.28619,-74.94356
MIRAFLORES,-5.17528,-80.61654
PARTIDOR,-4.73197,-80.27978
LAGARTERA,-4.7285,-80.06956
BOCATOMA CHIPILLICO,-4.7142,-80.11825
TAMBO GRANDE,-4.93848,-80.34703
HUALCUY,-4.74701,-79.60729
ALTO DE POCLUS,-4.91691,-79.89052
PAIMAS,-4.63439,-79.94581
SAPILLICA,-4.79639,-79.99972
EL CIRUELO,-4.29899,-80.1673
PUENTE MACARA,-4.39338,-79.96412
HUANCABAMBA,-5.24681,-79.45399
HUARMACA,-5.56586,-79.52544
CANCHAQUE,-5.40055,-79.6052
PUENTE ÑACARA,-5.1128,-80.17296
CHULUCANAS,-5.10844,-80.16954
CORRAL DEL MEDIO,-5.18871,-79.89148
CHALACO,-5.03389,-79.83
SAN PEDRO,-5.07954,-80.0162
MORROPON,-5.19465,-79.97107
SALITRAL,-5.34602,-79.83761
MALACASI,-5.33977,-79.85794
HACIENDA BIGOTE ,-5.32089,-79.78569
HACIENDA BARRIOS,-5.2895,-79.69909
SANTO DOMINGO,-5.03827,-79.87049
PUENTE SIMON RODRIGUEZ,-4.87999,-81.02038
LANCONES,-4.6429,-80.54716
ALAMOR,-4.47749,-80.39788
LA ARDILLA,-4.49094,-80.38819
CHUSIS,-5.51694,-80.83361
BERNAL,-5.45449,-80.74262
PUNO,-15.82625,-70.01208
ENAFER,-15.83647,-70.016
ILLPA,-15.68726,-70.07988
LARAQUERI,-16.13592,-70.04589
PUENTE AZANGARO,-14.92139,-70.18861
UPINA,-13.88492,-70.08281
AYMAÑA,-13.87279,-70.66759
CRUCERO,-14.36416,-70.02583
DESAGUADERO,-16.56364,-69.03667
PUENTE CARRETERA RAMIS,-15.25544,-69.87381
HUANCASAYA,-15.14308,-69.21467
LAMPA,-15.36296,-70.37343
CABANILLAS,-15.63909,-70.34661
PAMPAHUTA,-15.48369,-70.67599
CRUCERO ALTO,-15.76448,-70.911
PALCA,-15.2359,-70.59313
ANANSAYA -PUNA,-14.33386,-70.52334
JULIACA,-15.47106,-70.17122
JEPELACIO,-6.11275,-76.90761
BELLAVISTA,-7.05517,-76.55836
TINGO DE PONAZA,-6.93722,-76.25267
NARANJILLO,-5.80962,-77.39321
EL PORVENIR,-6.58906,-76.31824
TOCACHE,-8.18475,-76.50789
CERRO BLANCO,-17.96873,-70.15231
CORUCA,-17.63312,-70.45456
LA TRANCA,-17.74313,-70.47178
CAPLINA,-17.6921,-69.92511
CHALLATA,-17.81542,-70.09896
REPRESA PAUCARANI,-17.53436,-69.76499
BOCATOMA EL AYRO,-17.58019,-69.62673
CANDARAVE,-17.268,-70.25409
CORACHAY II,-17.11435,-70.28838
LAGUNA ARICOTA,-17.37093,-70.30847
PUENTE VIEJO,-17.61756,-70.76097
TICAPAMPA,-17.47659,-70.54263
TARATA,-17.47937,-70.03665
CHUAPALCA,-17.30882,-69.66179
PUENTE TALAPALCA,-17.47487,-70.17265
ANCOAQUE,-17.19972,-69.93917
VILACOTA,-17.07909,-70.04302
SALIDA TUNEL KOVIRE,-17.23804,-70.00854
REPRESA JARUMAS,-17.3692,-69.94863
PUERTO PIZARRO,-3.50396,-80.39538
PUENTE TUMBES,-3.5709,-80.4609
CAMPAMENTO SEDE,-3.55115,-80.42962
RICA PLAYA,-3.81333,-80.4575
HUASIMO,-3.99815,-80.50392
CABO INGA M,-3.97594,-80.40182
CABO INGA H,-3.97873,-80.39938
EL TIGRE,-3.7687,-80.45689
CAÑAVERAL,-3.93905,-80.65055
MATAPALO,-3.68276,-80.19851
CALLERIA,-7.89825,-74.49886
PUERTO ESPERANZA,-9.77083,-70.70666
LETRAYOC,-13.65773,-75.74496
HUAYTAPALLANA,-11.92717,-75.06186
SATIPO,-11.2247,-74.6087
POTSOTENI,-11.41316,-74.14723
TARMA,-11.3967,-75.6899
CHACAPALPA,-11.7525,-75.74226
MARCAPOMACOCHA,-11.40443,-76.32508
SALINAR,-7.66069,-78.96109
CASAGRANDE,-7.75031,-79.18869
CALLANCAS,-7.7675,-78.47729
LA FORTUNA,-7.67042,-78.40242
USQUIL,-7.8186,-78.41497
PUENTE COINA,-7.79636,-78.38012
CAPACHIQUE,-7.85642,-78.31184
TICAPAMPA,-7.91641,-77.90148
QUIRUVILCA,-8.00419,-78.3079
PUENTE PALMIRA,-7.54919,-78.81051
CASCAS,-7.47987,-78.82367
LUCMA,-7.64333,-78.55135
EL TAMBO,-7.57398,-78.70655
MARMOT,-7.7635,-78.66725
TINAJONES,-6.65489,-79.42792
VISTA FLORIDA,-6.72775,-79.78088
PUCHACA,-6.37353,-79.46673
TONGORRAPE,-6.06692,-79.68203
EL VIRREY,-5.53579,-79.98416
PASABAR,-5.83714,-79.81911
ANTONIO RAYMONDI,-11.77606,-77.15139
CERES,-12.02867,-76.92711
AGUA AZUL BOCATOMA,-11.80778,-76.99766
CARABAYLLO,-11.90219,-77.03364
CAMPO DE MARTE,-12.07056,-77.04314
VON HUMBOLDT,-12.08221,-76.93944
ÑAÑA,-11.98744,-76.84194
CHOSICA,-11.92986,-76.68964
PUENTE PIEDRA,-11.86325,-77.07413
SAN BORJA,-12.10859,-77.00769
SAN JUAN DE LURIGANCHO,-11.98164,-76.99925
